gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,0,Yes,No,56,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),45.97,2522.64,No
Female,0,Yes,Yes,31,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Electronic check,28.54,857.12,No
Female,0,No,No,54,No,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),75.97,4080.54,No
Male,0,Yes,No,5,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,86.29,433.52,No
Female,0,Yes,Yes,38,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),69.25,2604.35,No
Female,0,Yes,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,85.32,716.34,No
Female,0,No,Yes,31,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,93.81,2879.29,No
Male,0,No,No,35,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,62.87,2240.88,No
Female,0,Yes,No,15,Yes,No,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,68.75,1035.65,No
Male,0,No,No,11,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Mailed check,82.05,923.87,No
Female,0,Yes,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),80.19,3197.87,No
Male,0,Yes,No,66,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,67.02,4430.91,No
Male,0,No,Yes,57,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),43.72,2483.63,No
Female,0,Yes,No,8,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),86.74,725.05,Yes
Male,0,No,Yes,16,Yes,Yes,DSL,Yes,Yes,No,No,No,No,One year,Yes,Electronic check,57.25,930.89,No
Female,0,Yes,Yes,4,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Credit card (automatic),64.31,263.87,Yes
Female,0,No,No,25,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,71.03,1790.69,No
Female,1,Yes,No,0,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),65.27,-0.1,Yes
Male,0,No,No,0,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),84.76,8.9,No
Male,1,No,Yes,34,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,69.93,2371.6,No
Female,1,Yes,No,8,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),48.29,377.76,No
Female,0,No,No,37,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Two year,No,Mailed check,114.49,4183.66,Yes
Male,0,Yes,Yes,3,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,117.41,326.86,Yes
Female,1,No,No,51,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,25.57,1298.59,Yes
Female,0,Yes,Yes,18,Yes,No,DSL,No,No,No,Yes,No,No,One year,Yes,Credit card (automatic),86.07,1557.04,Yes
Female,0,Yes,No,4,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),107.36,467.96,No
Male,0,No,No,47,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),113.86,5368.5,No
Male,0,Yes,No,62,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),99.89,6174.1,Yes
Male,0,No,Yes,37,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),107.94,4012.28,Yes
Female,0,Yes,Yes,51,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),54.07,2736.31,Yes
Female,0,Yes,Yes,45,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,101.76,4598.89,No
Female,0,No,Yes,8,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),79.68,627.01,No
Male,1,No,Yes,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,61.02,2978.63,Yes
Female,0,Yes,No,65,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),99.5,6478.93,Yes
Female,0,Yes,Yes,37,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),40.42,1493.16,Yes
Female,0,Yes,No,26,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,113.5,2966.4,No
Female,0,Yes,No,19,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,64.69,1195.13,No
Male,0,Yes,Yes,61,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),103.57,6313.47,No
Male,1,Yes,No,15,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,42.93,637.71,Yes
Female,0,No,Yes,12,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,108.06,1253.54,Yes
Male,0,No,No,19,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),73.01,1392.59,Yes
Male,0,Yes,No,23,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Electronic check,45.67,1026.93,No
Female,0,Yes,Yes,49,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,78.69,3865.86,No
Female,1,Yes,No,6,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,25.68,210.11,Yes
Male,0,No,Yes,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),54.42,1518.57,No
Female,0,No,No,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,71.47,283.6,No
Male,0,No,No,34,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,Yes,Electronic check,71.16,2416.24,No
Female,1,No,Yes,64,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),79.97,5141.82,Yes
Male,0,No,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,22.59,1550.13,No
Female,0,Yes,Yes,6,No,No phone service,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),95.28,575.91,No
Male,0,Yes,Yes,43,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,27.62,1196.06,No
Male,1,No,Yes,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,112.81,7998.62,Yes
Male,0,Yes,No,12,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,Yes,Mailed check,73.32,904.08,No
Female,0,No,No,37,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Two year,No,Bank transfer (automatic),116.78,4341.46,No
Male,0,No,No,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,36.52,436.85,No
Male,0,No,No,53,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,96.24,5095.13,No
Female,0,Yes,Yes,43,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,76.83,3323.7,No
Female,0,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,102.24,1214.44,No
Male,1,No,No,24,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),23.43,530.45,Yes
Male,0,No,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,54.96,1250.3,Yes
Female,1,No,No,28,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),84.51,2381.26,Yes
Female,0,No,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),47.17,3277.0,No
Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,109.6,1878.99,No
Female,0,Yes,Yes,4,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,95.86,392.25,Yes
Female,0,Yes,No,17,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),55.62,915.79,Yes
Male,1,Yes,No,62,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),33.32,2076.6,Yes
Female,0,No,No,36,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,85.62,3093.34,No
Male,0,No,No,70,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),90.56,6356.58,No
Male,0,Yes,Yes,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),45.73,2486.72,Yes
Male,0,Yes,No,72,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,No,Electronic check,27.18,1941.74,No
Female,0,Yes,No,11,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,No,Electronic check,31.63,372.36,No
Male,0,No,No,51,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),106.47,5455.5,Yes
Male,1,Yes,No,56,No,No phone service,Fiber optic,No,No,No,No,No,No,One year,Yes,Mailed check,56.25,3128.47,Yes
Female,0,Yes,No,45,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),98.59,4455.11,No
Male,0,Yes,No,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,58.37,2516.04,No
Male,0,Yes,No,23,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.13,2189.16,Yes
Female,1,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,102.69,835.16,No
Male,0,Yes,Yes,11,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,No,Electronic check,51.25,555.55,Yes
Male,0,Yes,No,8,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,118.31,942.36,Yes
Male,0,Yes,Yes,21,Yes,Yes,DSL,Yes,No,No,No,Yes,No,One year,No,Mailed check,35.93,770.87,No
Female,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,74.81,1220.04,No
Female,0,No,Yes,32,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Electronic check,85.13,2692.0,No
Female,1,Yes,No,46,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check,33.72,1532.65,Yes
Male,0,Yes,No,14,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),21.62,273.27,No
Male,0,No,Yes,32,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Mailed check,30.21,948.69,No
Female,0,Yes,Yes,14,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,32.85,446.65,No
Male,0,No,No,26,Yes,No,DSL,No,No,Yes,No,No,No,One year,No,Electronic check,82.32,2158.92,No
Male,0,Yes,No,60,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,115.83,6942.78,No
Female,0,Yes,Yes,67,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,68.03,4569.8,No
Female,0,No,Yes,47,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),98.05,4599.37,No
Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),28.83,226.18,Yes
Male,0,No,No,5,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,No,Credit card (automatic),53.67,2027.76,No
Male,0,Yes,Yes,62,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),34.03,2108.53,No
Female,1,Yes,No,1,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),87.26,46.05,No
Female,0,Yes,No,21,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Two year,No,Bank transfer (automatic),114.62,2396.82,No
Female,0,No,Yes,20,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,No,Mailed check,51.18,1029.6,No
Female,0,No,No,5,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),49.18,283.79,No
Male,0,Yes,Yes,69,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),62.18,4333.09,No
Female,0,No,Yes,12,Yes,No,DSL,Yes,No,No,No,Yes,No,Two year,No,Electronic check,28.8,374.45,No
Female,0,No,Yes,0,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,Yes,Mailed check,94.69,-5.4,No
Female,0,Yes,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),110.17,2285.7,No
Female,0,No,No,23,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,No,Mailed check,27.3,615.05,Yes
Female,0,Yes,No,63,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),54.4,3452.19,No
Male,0,Yes,Yes,40,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Credit card (automatic),105.86,4212.74,Yes
Male,0,No,Yes,21,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),33.75,710.84,No
Female,0,Yes,No,60,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,87.34,5244.97,No
Male,0,Yes,Yes,11,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),37.77,430.06,No
Female,0,No,No,3,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,91.47,250.63,No
Female,0,No,No,11,Yes,No,DSL,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),83.99,878.51,No
Male,0,No,No,32,Yes,No,DSL,No,No,Yes,No,Yes,No,One year,Yes,Mailed check,114.08,3646.91,No
Male,0,No,Yes,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,74.12,1455.19,No
Female,1,Yes,No,72,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,64.1,4595.34,No
Female,0,No,Yes,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),70.24,4976.66,No
Female,0,No,No,71,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,78.53,5597.86,Yes
Male,0,Yes,No,51,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),115.13,5849.93,No
Female,0,No,No,46,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),24.17,1111.48,No
Female,1,Yes,No,58,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,77.06,4447.07,Yes
Female,0,Yes,No,46,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),69.34,3213.57,Yes
Male,0,No,Yes,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,115.57,6345.0,No
Female,0,No,Yes,12,No,No phone service,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),97.09,1135.31,Yes
Female,0,Yes,No,43,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),106.06,4531.96,Yes
Male,0,Yes,No,34,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,25.88,890.91,No
Female,0,No,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,104.25,2918.18,Yes
Female,1,Yes,No,55,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,94.15,5162.77,No
Male,0,Yes,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),68.55,248.29,No
Female,0,No,No,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,50.27,3296.22,Yes
Male,1,No,No,52,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,53.78,2842.32,Yes
Male,0,No,Yes,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,83.67,4909.44,No
Female,1,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,28.0,142.67,No
Female,1,No,No,47,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,42.66,2002.33,No
Female,0,No,No,34,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),84.78,2880.37,No
Female,0,Yes,No,17,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),48.02,773.28,No
Male,0,No,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),97.63,1014.97,No
Female,1,Yes,No,50,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),92.24,4629.41,No
Male,0,Yes,No,22,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,68.87,1519.55,Yes
Female,0,Yes,No,46,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Mailed check,97.58,4481.94,No
Female,1,No,Yes,58,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Electronic check,34.38,1974.0,No
Female,1,Yes,Yes,56,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,100.08,5625.75,Yes
Male,0,Yes,Yes,55,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),38.6,2125.62,No
Female,0,No,No,26,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),87.38,2273.69,Yes
Female,1,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,88.12,6335.1,No
Female,0,No,Yes,34,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,79.53,2681.31,Yes
Female,1,Yes,Yes,54,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Electronic check,72.98,3902.77,Yes
Male,0,Yes,No,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,106.87,860.66,No
Female,0,No,No,17,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Bank transfer (automatic),85.35,1470.44,Yes
Male,0,Yes,No,43,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),53.73,2320.01,No
Male,0,No,No,20,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),97.2,1920.3,No
Male,0,Yes,No,55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,39.81,2181.18,No
Male,0,No,No,47,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),52.86,2457.49,No
Male,0,Yes,No,0,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,No,Mailed check,96.59,-4.6,No
Male,0,Yes,Yes,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,115.66,2997.49,No
Female,0,No,No,44,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),109.77,4794.95,No
Male,0,Yes,Yes,62,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),49.06,3035.51,No
Male,0,Yes,Yes,57,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),103.48,5877.88,No
Male,0,No,No,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,72.98,2850.11,Yes
Female,0,Yes,No,62,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),62.48,3912.11,No
Female,0,Yes,No,37,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,69.72,2574.15,Yes
Male,0,Yes,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,88.82,2490.92,No
Female,0,Yes,No,39,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Bank transfer (automatic),65.63,2550.24,No
Male,1,Yes,Yes,18,Yes,No,DSL,No,Yes,Yes,No,No,No,Two year,No,Electronic check,24.58,461.49,No
Male,1,No,Yes,55,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),22.78,1274.91,Yes
Female,0,No,No,43,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,66.16,2810.09,No
Male,1,Yes,No,64,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Mailed check,62.72,3999.03,No
Female,0,Yes,No,12,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,99.09,1198.69,No
Female,0,No,No,29,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),40.65,1160.73,No
Male,0,No,Yes,48,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,76.95,3684.68,Yes
Male,0,Yes,Yes,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),80.91,5030.39,No
Female,0,No,No,70,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,36.18,2556.55,No
Male,0,No,No,34,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,36.35,1226.58,No
Male,0,Yes,No,10,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,91.51,907.08,Yes
Male,0,Yes,No,48,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),41.15,1998.55,No
Female,0,Yes,No,39,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Electronic check,42.91,1672.6,No
Female,0,No,Yes,20,Yes,No,DSL,No,Yes,No,No,No,No,Two year,No,Electronic check,43.35,896.23,No
Male,0,No,No,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,86.76,3962.97,Yes
Female,0,No,No,2,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),84.78,174.11,No
Female,0,Yes,No,29,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,114.37,3313.63,No
Female,0,No,No,66,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,65.4,4324.99,No
Female,1,No,No,61,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,39.85,2439.01,No
Female,0,No,No,36,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,60.98,2195.15,No
Male,0,Yes,Yes,21,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,70.78,1480.51,Yes
Male,0,No,Yes,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),37.88,1147.22,No
Male,0,Yes,No,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,95.46,4279.89,No
Female,0,No,No,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),27.94,1242.81,No
Female,0,No,Yes,13,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,20.86,261.06,No
Male,0,Yes,Yes,11,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),34.98,381.2,No
Female,0,No,No,62,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Credit card (automatic),21.69,1343.33,No
Male,0,Yes,No,37,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),29.83,1109.41,Yes
Male,0,No,Yes,46,Yes,Yes,DSL,Yes,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),26.26,1217.1,No
Male,0,Yes,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,87.71,4637.45,No
Female,0,No,No,54,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),91.22,4913.48,Yes
Female,0,No,No,47,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),51.1,2382.27,No
Male,0,Yes,Yes,72,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),38.17,2729.57,No
Male,0,No,No,71,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),95.43,6774.26,No
Male,0,Yes,No,14,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,No,Electronic check,34.17,450.7,No
Male,0,Yes,Yes,70,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),57.47,4014.08,No
